title,topic_idx
You Decide Which Games Matter,5
Golden State’s Playoff Reappearance Doesn’t Quite Feel Like Old Times,5
"As Virus Sidelines Another ‘Macbeth’ Actor, Its Director Steps Onstage",2
China’s Economic Data Hints at Cost of Zero Covid Strategy,2
"When Covid Enters the House, What Should We Do?",2
Shanghai Residents Clash With Police Over Covid-19 Measures,2
Pope Speaks of Ukraine’s Suffering on ‘an Easter of War’,2
Some Care Workers Are Seeing a Bump in Pay. They’re Working to Make It Last.,2
Is Covid More Dangerous Than Driving? How Scientists Are Parsing Covid Risks.,2
India Is Stalling the W.H.O.’s Efforts to Make Global Covid Death Toll Public,2
"Your Covid Questions, Answered",2
‘Too smelly to sleep’: Thirteen days in a Shanghai isolation facility.,2
